new_rank,gene_list,old_rank,overlapped genes or not
652,LPAR3,265,0
653,STIP1,6303,0
654,ZAP70,3347,0
655,FMOD,5268,0
656,SERPING1,2813,0
657,PRKCQ,937,0
658,MLN,3785,0
659,PRKG1,613,0
660,CHCHD3,744,0
661,DPEP1,221,0
662,CEBPZ,1340,0
663,ITGB4,898,0
664,TMED10,2699,0
665,ROCK1,2160,0
666,VDAC2,2043,0
667,STAT4,1914,0
668,POLR1C,6442,0
669,KRT2,11110,0
670,IRF1,3403,0
671,ACTA1,12949,0
672,PAFAH1B1,3800,0
673,STX1A,536,0
674,DLD,14598,0
675,PTPRD,807,0
676,SUPT5H,11120,0
677,NRF1,662,0
678,ATP6V0D1,2147,0
679,HIST1H2BO,153,0
680,RERE,388,0
681,DAB1,1174,0
682,UBQLN2,NA,0
683,DDX10,590,0
684,CSF1R,5438,0
685,CTGF,994,0
686,GLDC,170,0
687,SLC12A5,882,0
688,CNOT1,1719,0
689,DYNC1I2,1774,0
690,GTF2A2,463,0
691,GNA13,995,0
692,KIF5B,4643,0
693,GRM6,7808,0
694,CHRNA3,343,0
695,KIF2A,9219,0
696,ANXA1,6804,0
697,GTF3A,661,0
698,SNW1,8929,0
699,RBBP4,13097,0
700,ACTN2,9370,0
701,MCM7,13430,0
702,LIPC,269,0
703,SUMO2,NA,0
704,CASP3,8415,1
705,DMTF1,7912,0
706,HEBP1,204,0
707,SPOCK1,167,0
708,LY6G6F,65,0
709,NPY2R,1191,0
710,CTBP2,1183,0
711,FNDC4,80,1
712,FARSA,1511,0
713,SUMO3,11814,0
714,IGF1,10439,0
715,ALPP,9160,0
716,MYOG,1038,0
717,LHX3,11858,0
718,POU4F2,3632,0
719,HIST1H2AA,357,0
720,BAG3,9470,0
721,SNCA,2583,0
722,TUBB3,11856,0
723,BCL6,4148,0
724,CNOT7,248,0
725,MCC,519,0
726,HABP2,2830,0
727,POU1F1,1237,0
728,COL4A1,1054,0
729,YWHAH,13113,0
730,TRAP1,2288,0
731,ATM,13545,0
732,GPC1,333,0
733,KIF23,1125,0
734,SOX9,1307,0
735,APOB,3865,0
736,HSPA4L,9434,0
737,PIAS2,245,0
738,LUZP2,92,0
739,NHP2,3869,0
740,ADAMTS2,300,0
741,NUMB,1088,0
742,GFAP,9829,1
743,RPS6KA1,922,0
744,TLR2,3125,0
745,USP7,9817,0
746,DNMT1,9320,0
747,PSMB4,2159,0
748,PRDM14,241,0
749,CDH13,173,0
750,SOX2,10051,0
751,KCNA5,1255,0
752,PPP3CA,1972,0
753,EPS15,10571,0
754,PSMA3,12379,0
755,EPHB2,1239,0
